claim_id,age,vehicle_age,claim_amount,accident_type,previous_claims,police_report,witness_present,garage_type,days_to_claim,fraud
CLM1000,41,14,179725,Fire,4,0,1,Local,54,0
CLM1001,58,13,336738,Natural Disaster,4,1,0,Authorized,46,1
CLM1002,65,13,114476,Collision,0,0,1,Local,35,0
CLM1003,26,1,50833,Collision,0,0,0,Local,25,1
CLM1004,68,9,212820,Theft,1,1,0,Authorized,21,0
CLM1005,49,5,82717,Fire,0,1,1,Local,36,0
CLM1006,60,5,43412,Natural Disaster,2,1,1,Authorized,40,1
CLM1007,66,8,202970,Fire,5,0,1,Local,23,0
CLM1008,34,4,126131,Theft,5,1,1,Local,26,0
CLM1009,45,11,291088,Fire,0,0,1,Authorized,51,0
CLM1010,65,9,66990,Natural Disaster,2,1,1,Authorized,30,1
CLM1011,23,11,458705,Natural Disaster,1,1,1,Local,26,1
CLM1012,68,1,150775,Theft,0,1,1,Local,15,0
CLM1013,57,7,291435,Collision,2,0,0,Local,58,0
CLM1014,39,1,452559,Collision,5,0,1,Authorized,10,1
CLM1015,40,10,63586,Theft,1,0,1,Local,42,1
CLM1016,33,10,277567,Fire,4,1,1,Local,60,0
CLM1017,49,6,232180,Theft,0,0,0,Local,38,1
CLM1018,54,8,417688,Collision,3,0,0,Local,44,1
CLM1019,36,15,64888,Theft,1,0,1,Authorized,42,1
CLM1020,55,12,126402,Collision,5,0,0,Local,32,0
CLM1021,49,6,91322,Theft,0,1,0,Local,31,1
CLM1022,18,8,210642,Fire,4,1,0,Authorized,4,1
CLM1023,22,5,255241,Theft,5,1,0,Local,42,0
CLM1024,28,15,491185,Theft,0,0,1,Local,20,1
CLM1025,23,2,492842,Theft,4,1,0,Local,26,1
CLM1026,39,10,50251,Natural Disaster,1,1,1,Authorized,36,1
CLM1027,34,10,141655,Theft,3,1,1,Local,12,1
CLM1028,27,6,323493,Collision,4,1,1,Authorized,12,0
CLM1029,61,0,481053,Natural Disaster,4,0,1,Local,32,0
CLM1030,28,14,430288,Fire,1,0,0,Local,27,1
CLM1031,44,6,306737,Natural Disaster,4,0,0,Local,29,0
CLM1032,25,8,264131,Collision,2,0,0,Authorized,28,1
CLM1033,26,9,479121,Fire,3,0,0,Local,36,0
CLM1034,59,3,242521,Theft,4,0,1,Authorized,24,1
CLM1035,20,3,444211,Fire,5,1,1,Local,12,1
CLM1036,63,7,441596,Collision,5,1,1,Local,36,0
CLM1037,56,4,264932,Collision,1,0,0,Local,40,0
CLM1038,65,10,241664,Fire,3,0,1,Authorized,54,0
CLM1039,39,1,223013,Collision,3,0,0,Authorized,51,1
CLM1040,53,0,405500,Fire,4,0,1,Authorized,18,0
CLM1041,22,7,38441,Theft,0,0,0,Authorized,12,1
CLM1042,68,10,34018,Natural Disaster,3,0,1,Local,21,0
CLM1043,25,3,196686,Natural Disaster,5,1,0,Local,48,1
CLM1044,24,7,188892,Theft,3,0,0,Authorized,46,1
CLM1045,30,15,248779,Natural Disaster,2,0,1,Authorized,59,1
CLM1046,27,3,494882,Collision,3,0,0,Authorized,42,1
CLM1047,47,8,410876,Fire,4,0,0,Authorized,40,1
CLM1048,55,4,235860,Theft,4,1,1,Authorized,60,0
CLM1049,60,13,267206,Theft,4,0,0,Local,20,1
CLM1050,55,15,457914,Collision,2,1,0,Local,2,0
CLM1051,40,9,436593,Natural Disaster,1,1,0,Authorized,27,0
CLM1052,33,11,397549,Fire,0,0,1,Authorized,37,1
CLM1053,64,11,14958,Fire,1,1,0,Authorized,16,0
CLM1054,61,6,282874,Fire,4,1,1,Authorized,42,0
CLM1055,56,0,354189,Natural Disaster,4,0,0,Local,49,0
CLM1056,64,3,319331,Fire,3,1,1,Local,26,0
CLM1057,56,6,94936,Collision,3,1,0,Local,36,0
CLM1058,30,4,402278,Theft,3,1,1,Local,34,0
CLM1059,59,10,295894,Collision,0,0,0,Authorized,38,0
CLM1060,46,5,195598,Natural Disaster,2,0,0,Authorized,43,1
CLM1061,31,9,57649,Theft,0,1,0,Authorized,32,1
CLM1062,41,11,188376,Collision,2,1,0,Authorized,48,1
CLM1063,47,0,375307,Theft,4,1,1,Authorized,40,1
CLM1064,42,12,441121,Fire,2,0,1,Local,39,0
CLM1065,26,6,71960,Collision,2,1,0,Local,44,1
CLM1066,24,14,35043,Fire,3,1,1,Local,47,1
CLM1067,48,7,178293,Theft,0,1,1,Local,22,0
CLM1068,44,8,64476,Theft,2,0,1,Local,6,1
CLM1069,43,7,109599,Theft,1,0,1,Local,22,0
CLM1070,27,5,239503,Collision,0,1,0,Local,59,1
CLM1071,29,1,327502,Theft,2,1,1,Authorized,6,1
CLM1072,46,9,499319,Theft,2,1,0,Authorized,40,1
CLM1073,37,1,187550,Fire,5,1,0,Local,8,0
CLM1074,43,12,272893,Theft,3,1,0,Authorized,44,0
CLM1075,46,5,47665,Natural Disaster,3,0,1,Authorized,56,1
CLM1076,24,12,262467,Natural Disaster,2,1,0,Authorized,11,1
CLM1077,70,0,90037,Fire,2,1,0,Authorized,28,1
CLM1078,57,4,112376,Fire,4,1,0,Authorized,30,0
CLM1079,67,13,394993,Fire,3,0,1,Authorized,41,1
CLM1080,50,14,116734,Natural Disaster,4,0,0,Authorized,25,0
CLM1081,30,6,407817,Natural Disaster,5,1,0,Authorized,56,0
CLM1082,65,10,334810,Theft,0,1,0,Local,54,0
CLM1083,31,13,125359,Theft,2,1,0,Authorized,46,0
CLM1084,43,6,40682,Collision,5,0,1,Local,8,0
CLM1085,42,15,399972,Collision,0,1,1,Local,51,1
CLM1086,68,13,364675,Theft,5,0,1,Authorized,24,0
CLM1087,43,5,105005,Fire,1,0,0,Authorized,23,0
CLM1088,23,15,88754,Natural Disaster,2,0,1,Local,39,0
CLM1089,61,12,261663,Collision,4,1,1,Local,43,0
CLM1090,45,1,327069,Collision,1,0,0,Local,27,0
CLM1091,22,4,322951,Collision,0,0,0,Local,10,1
CLM1092,38,5,375662,Fire,2,0,1,Local,28,1
CLM1093,53,11,219131,Fire,4,0,0,Authorized,6,1
CLM1094,33,0,102542,Theft,0,1,0,Local,50,0
CLM1095,65,13,437243,Natural Disaster,3,0,0,Authorized,39,0
CLM1096,68,10,165117,Collision,1,1,0,Authorized,59,0
CLM1097,19,4,209554,Theft,1,0,0,Authorized,15,1
CLM1098,24,13,52388,Fire,0,0,0,Local,17,1
CLM1099,56,13,40617,Fire,4,1,0,Authorized,41,0
CLM1100,20,2,49559,Theft,3,0,0,Authorized,15,1
CLM1101,56,7,159884,Fire,5,0,0,Authorized,8,1
CLM1102,29,8,464806,Collision,4,1,1,Authorized,4,1
CLM1103,54,15,183744,Natural Disaster,0,0,1,Local,18,1
CLM1104,29,9,6668,Theft,4,0,0,Local,50,0
CLM1105,68,15,402216,Collision,3,0,0,Local,15,0
CLM1106,67,14,418042,Collision,1,0,0,Authorized,45,0
CLM1107,30,15,396535,Collision,5,1,0,Authorized,21,0
CLM1108,36,15,431947,Natural Disaster,0,0,0,Local,50,1
CLM1109,23,1,420741,Theft,1,1,1,Local,40,0
CLM1110,26,2,498520,Theft,1,0,1,Local,22,0
CLM1111,69,3,379096,Fire,4,0,1,Local,50,1
CLM1112,68,15,222644,Collision,3,0,1,Local,51,0
CLM1113,30,2,133169,Collision,5,0,0,Local,9,1
CLM1114,21,10,459309,Natural Disaster,5,1,0,Authorized,15,0
CLM1115,61,6,21986,Theft,2,0,1,Local,52,1
CLM1116,44,1,440792,Natural Disaster,2,0,1,Local,18,1
CLM1117,18,12,203775,Theft,1,1,0,Local,36,1
CLM1118,36,11,231728,Theft,1,0,0,Local,49,0
CLM1119,62,2,162972,Fire,3,0,1,Authorized,57,1
CLM1120,29,13,278565,Natural Disaster,1,1,1,Local,19,0
CLM1121,40,13,63753,Natural Disaster,4,0,1,Authorized,22,0
CLM1122,68,9,81239,Collision,1,1,1,Authorized,3,1
CLM1123,41,9,250392,Collision,4,0,0,Authorized,47,1
CLM1124,44,6,158947,Natural Disaster,1,0,0,Local,26,1
CLM1125,37,1,380173,Fire,3,1,0,Local,52,1
CLM1126,60,3,14191,Theft,0,1,1,Authorized,4,0
CLM1127,64,12,189314,Collision,1,0,0,Local,8,0
CLM1128,69,3,245597,Natural Disaster,4,1,1,Local,60,0
CLM1129,21,5,248242,Theft,4,1,1,Authorized,51,0
CLM1130,57,3,362603,Fire,3,0,0,Local,38,1
CLM1131,55,4,467306,Theft,5,0,1,Authorized,39,0
CLM1132,43,10,492613,Theft,3,0,1,Local,24,0
CLM1133,69,7,433961,Natural Disaster,1,0,1,Authorized,11,1
CLM1134,40,13,45137,Collision,0,1,0,Authorized,48,1
CLM1135,63,9,6895,Natural Disaster,5,1,1,Local,41,1
CLM1136,28,1,95630,Collision,0,0,1,Local,15,1
CLM1137,39,1,209586,Natural Disaster,5,1,1,Local,14,0
CLM1138,34,3,464397,Natural Disaster,2,1,0,Local,47,1
CLM1139,27,7,405861,Theft,1,0,0,Authorized,56,1
CLM1140,68,9,77153,Collision,1,1,0,Authorized,33,0
CLM1141,31,2,106038,Theft,2,1,1,Authorized,40,1
CLM1142,28,13,482076,Collision,3,0,1,Authorized,24,0
CLM1143,33,7,354946,Fire,0,0,0,Local,22,0
CLM1144,25,4,306432,Theft,5,0,1,Local,25,0
CLM1145,33,13,253034,Collision,0,0,1,Authorized,8,0
CLM1146,54,14,292667,Fire,2,0,1,Authorized,10,0
CLM1147,24,14,390874,Theft,1,1,0,Local,50,1
CLM1148,65,7,36927,Theft,1,1,0,Local,11,0
CLM1149,70,14,145390,Fire,2,1,1,Authorized,10,0
CLM1150,31,6,140948,Fire,4,1,1,Local,6,1
CLM1151,42,10,490473,Fire,4,0,0,Authorized,6,0
CLM1152,68,14,388869,Theft,4,1,1,Local,39,1
CLM1153,26,0,203682,Collision,2,1,1,Authorized,36,0
CLM1154,65,6,498772,Fire,2,0,0,Local,24,1
CLM1155,25,5,373317,Collision,3,0,0,Local,9,0
CLM1156,21,0,180739,Fire,4,1,1,Authorized,38,1
CLM1157,24,10,376246,Theft,3,0,0,Local,8,0
CLM1158,44,7,125336,Collision,3,1,0,Authorized,56,1
CLM1159,52,3,103311,Theft,4,1,0,Local,18,1
CLM1160,66,2,168001,Theft,5,1,0,Authorized,20,1
CLM1161,52,13,323891,Natural Disaster,5,1,1,Authorized,25,0
CLM1162,51,3,277471,Collision,5,1,1,Local,46,1
CLM1163,39,9,325934,Fire,5,0,0,Local,43,0
CLM1164,60,5,80609,Collision,5,0,0,Local,56,1
CLM1165,35,13,283676,Collision,0,0,1,Authorized,50,0
CLM1166,41,15,157104,Collision,5,1,1,Authorized,51,0
CLM1167,39,11,144082,Theft,4,0,1,Local,31,1
CLM1168,38,8,495863,Fire,5,0,0,Authorized,15,0
CLM1169,32,7,401383,Theft,5,1,1,Local,16,0
CLM1170,29,7,434828,Theft,0,0,0,Local,56,0
CLM1171,53,7,207474,Fire,1,0,1,Local,47,0
CLM1172,24,4,113400,Theft,3,1,1,Authorized,4,0
CLM1173,39,0,302114,Fire,4,0,0,Authorized,55,1
CLM1174,29,3,433743,Collision,2,1,1,Authorized,52,1
CLM1175,20,13,349678,Natural Disaster,0,1,1,Local,27,1
CLM1176,53,9,372857,Theft,2,0,0,Local,20,1
CLM1177,63,13,42547,Fire,4,0,0,Local,42,1
CLM1178,40,13,72050,Collision,4,0,0,Authorized,26,0
CLM1179,66,9,115789,Natural Disaster,1,1,0,Authorized,34,1
CLM1180,48,6,214005,Collision,1,1,1,Authorized,37,1
CLM1181,22,5,302070,Theft,1,1,0,Local,54,1
CLM1182,34,9,243497,Collision,1,0,1,Authorized,46,1
CLM1183,22,8,140134,Natural Disaster,2,1,1,Authorized,44,1
CLM1184,58,10,60621,Collision,2,1,0,Authorized,5,1
CLM1185,64,1,166993,Collision,3,0,1,Authorized,8,0
CLM1186,46,7,86704,Collision,3,1,1,Authorized,19,1
CLM1187,56,1,337488,Fire,5,0,0,Local,11,0
CLM1188,24,11,104248,Collision,2,1,0,Authorized,17,1
CLM1189,36,13,154581,Fire,0,0,0,Authorized,11,1
CLM1190,64,1,36626,Natural Disaster,4,0,1,Local,0,1
CLM1191,61,5,267145,Natural Disaster,1,0,0,Local,19,0
CLM1192,25,0,152592,Collision,2,1,0,Local,41,0
CLM1193,31,2,191975,Fire,2,1,1,Local,48,1
CLM1194,55,6,367321,Theft,3,0,0,Local,41,0
